0.00 - 0.32:  Somewhere
53.52 - 53.78:  another
53.78 - 54.08:  tool.
54.22 - 54.38:  Nobody
54.38 - 54.68:  opens.
55.26 - 55.50:  Every
55.50 - 55.70:  run
55.70 - 55.84:  lays
55.84 - 56.16:  behind
56.16 - 56.30:  a
56.30 - 56.48:  paper
56.48 - 56.84:  trail,
57.08 - 57.42:  decisions,
57.42 - 57.96:  dead
57.96 - 58.32:  ends,
58.52 - 58.66:  y
58.66 - 59.00: -option,
59.08 - 59.22:  b
59.22 - 59.48: -beat,
59.56 - 59.74:  option
59.74 - 60.08:  A.
60.62 - 60.82:  Next
60.82 - 61.04:  time
61.04 - 61.44:  codex
61.44 - 61.64:  starts
61.64 - 61.92:  from
61.92 - 62.12:  that
62.12 - 62.42:  instead
62.42 - 62.60:  of
62.60 - 62.88:  zero,
63.48 - 63.66:  the
63.66 - 63.90:  workflow
63.90 - 64.22:  gets
64.22 - 64.60:  faster
64.60 - 64.86:  every
64.86 - 65.04:  time
65.04 - 65.36:  someone
65.36 - 65.64:  uses
65.64 - 65.92:  it,
66.00 - 66.48:  compounding
66.48 - 66.88:  interest,
67.14 - 67.40:  but
67.40 - 67.56:  for
67.56 - 68.06:  institutional
68.06 - 68.48:  memory.
69.16 - 69.30:  To
69.30 - 69.42:  be
69.42 - 69.70:  clear,
69.84 - 69.98:  this
69.98 - 70.28:  isn't
70.28 - 70.52:  fire
70.52 - 70.66:  the
70.66 - 71.06:  engineer,
71.22 - 71.38:  auto
71.38 - 71.74:  approval
71.74 - 72.22:  only
72.22 - 72.54:  covers
72.54 - 72.80:  low
72.80 - 72.98:  stakes
72.98 - 73.42:  actions.
74.00 - 74.26:  Humans
74.26 - 74.58:  still
74.58 - 74.94:  decide
74.94 - 75.10:  when
75.10 - 75.22:  a
75.22 - 75.54:  plan's
75.54 - 75.74:  ready
75.74 - 75.94:  and
75.94 - 76.10:  when
76.10 - 76.22:  a
76.22 - 76.46:  call
76.46 - 76.80:  actually
76.80 - 77.12:  needs
77.12 - 77.52:  judgment.
78.04 - 78.50:  Codex
78.50 - 78.76:  just
78.76 - 79.14:  stops
79.14 - 79.36:  the
79.36 - 79.70:  repetitive
79.70 - 80.06:  stuff
80.06 - 80.44:  from
80.44 - 80.68:  eating
80.68 - 80.92:  your
80.92 - 81.18:  day.
81.84 - 82.08:  The
82.08 - 82.30:  pitch
82.30 - 82.56:  here
82.56 - 82.98:  isn't
82.98 - 83.32:  AI
83.32 - 83.74:  replaces
83.74 - 84.30:  engineers,
84.30 - 84.68:  its
84.68 - 84.98:  AI
84.98 - 85.44:  replaces
85.44 - 85.68:  the
85.68 - 86.00:  parts
86.00 - 86.14:  of
86.14 - 86.24:  the
86.24 - 86.44:  job
86.44 - 86.56:  you
86.56 - 86.82:  already
86.82 - 87.18:  hated,
87.50 - 87.82:  which
87.82 - 88.00:  if
88.00 - 88.22:  you've
88.22 - 88.40:  ever
88.40 - 89.12:  provisioned
89.12 - 89.20:  a
89.20 - 89.58:  Kubernetes
89.58 - 89.98:  cluster
89.98 - 90.24:  by
90.24 - 90.56:  hand
90.56 - 91.04:  is
91.04 - 91.28:  most
91.28 - 91.48:  of
91.48 - 91.64:  it.
