0.00 - 0.24:  Last
81.94 - 82.68:  explanation,
83.30 - 83.84:  subtotal,
84.14 - 84.24:  tax
84.24 - 84.88:  expected
84.88 - 85.26:  total,
85.56 - 85.78:  stated
85.78 - 86.18:  total,
86.18 - 86.48:  all
86.48 - 86.66:  in
86.66 - 86.76:  the
86.76 - 87.10:  message
87.10 - 87.44:  or
87.44 - 87.62:  it
87.62 - 87.94:  passed.
89.04 - 89.46:  Recall
89.46 - 89.68:  invoice
89.68 - 90.02:  two
90.02 - 90.24:  from
90.24 - 90.46:  lesson
90.46 - 90.84:  one,
91.08 - 91.44:  subtotal
91.44 - 91.80:  1
91.80 - 92.30: ,000,
92.66 - 92.78:  tax
92.78 - 93.06:  80,
93.20 - 93.52:  expected
93.52 - 93.86:  1
93.86 - 94.52: ,080,
94.98 - 95.36:  stated
95.36 - 95.74:  total
95.74 - 96.20:  100
96.20 - 96.74: ,000.
97.20 - 97.34:  This
97.34 - 97.68:  function
97.68 - 97.88:  is
97.88 - 98.06:  well
98.06 - 98.32:  caught
98.32 - 98.68:  that
98.68 - 99.06:  and
99.06 - 99.18:  it
99.18 - 99.40:  caught
99.40 - 99.58:  it
99.58 - 99.80:  without
99.80 - 100.14:  ever
100.14 - 100.52:  calling
100.52 - 100.84:  a
100.84 - 101.12:  model.
102.02 - 102.24:  This
102.24 - 102.42:  one
102.42 - 102.80:  changed
102.80 - 103.14:  since
103.14 - 103.42:  lesson
103.42 - 103.74:  three.
104.22 - 104.40:  It
104.40 - 104.58:  used
104.58 - 104.72:  to
104.72 - 104.98:  check
104.98 - 105.12:  an
105.12 - 105.32:  in
105.32 - 105.62: -memory
105.62 - 105.96:  set.
106.38 - 106.60:  Now
106.60 - 106.74:  it
106.74 - 106.92:  checks
106.92 - 107.48:  postgres.
108.46 - 108.82:  Key
108.82 - 109.04:  is
109.04 - 109.26:  vendor
109.26 - 109.56:  name
109.56 - 109.76:  plus
109.76 - 110.06:  invoice
110.06 - 110.40:  number,
110.62 - 110.82:  both
110.82 - 111.24:  normalized,
111.56 - 111.88:  stripped,
112.12 - 112.26:  lower
112.26 - 112.96:  cased.
113.14 - 113.22:  Two
113.22 - 113.60:  invoices
113.60 - 113.78:  with
113.78 - 113.88:  the
113.88 - 114.06:  same
114.06 - 114.34:  number
114.34 - 114.54:  from
114.54 - 114.78:  different
114.78 - 115.18:  vendors
115.18 - 115.64:  aren't
115.64 - 116.22:  duplicates.
116.70 - 116.94:  Same
116.94 - 117.28:  vendor,
117.44 - 117.54:  same
117.54 - 117.88:  number
117.88 - 118.36:  submitted
118.36 - 118.76:  twice.
119.20 - 119.36:  That's
119.36 - 119.48:  the
119.48 - 119.72:  fraud
119.72 - 120.12:  pattern
120.12 - 120.34:  this
120.34 - 120.62:  catches.
121.76 - 121.90:  This
121.90 - 122.04:  is
122.04 - 122.30:  also
122.30 - 122.48:  high
122.48 - 122.86:  severity.
123.46 - 123.54:  A
123.54 - 123.84:  duplicate
123.84 - 124.32:  isn't
124.32 - 124.74:  probably
124.74 - 125.12:  fine.
125.56 - 125.76:  It's
125.76 - 125.88:  either
125.88 - 126.06:  an
126.06 - 126.38:  honest
126.38 - 126.80:  mistake
126.80 - 127.16:  or
127.16 - 127.50:  someone
127.50 - 127.70:  trying
127.70 - 127.84:  to
127.84 - 127.96:  get
127.96 - 128.16:  paid
128.16 - 128.44:  twice
128.44 - 129.04:  and
129.04 - 129.64:  either
129.64 - 129.84:  way
129.84 - 130.02:  a
130.02 - 130.24:  human
130.24 - 130.56:  needs
130.56 - 130.72:  to
130.72 - 130.82:  look
130.82 - 130.96:  at
130.96 - 131.08:  it
131.08 - 131.26:  before
131.26 - 131.58:  money
131.58 - 131.88:  moves.
132.64 - 133.04:  Notice
133.04 - 133.28:  what
133.28 - 133.46:  this
133.46 - 133.66:  check
133.66 - 134.04:  doesn't
134.04 - 134.20:  do.
134.36 - 134.42:  It
134.42 - 134.70:  doesn't
134.70 - 135.02:  decide
135.02 - 135.18:  what
135.18 - 135.50:  happens
135.50 - 135.64:  to
135.64 - 135.72:  the
135.72 - 136.08:  duplicate.
136.44 - 136.56:  It
136.56 - 136.72:  just
136.72 - 137.04:  names
137.04 - 137.24:  the
137.24 - 137.52:  fact.
138.06 - 138.34:  Routing
138.34 - 138.60:  that
138.60 - 138.82:  fact
138.82 - 139.08:  into
139.08 - 139.24:  an
139.24 - 139.48:  action
139.48 - 139.90:  is
139.90 - 140.04:  a
140.04 - 140.24:  job
140.24 - 140.42:  for
140.42 - 140.54:  the
140.54 - 140.78:  review
140.78 - 141.10:  queue.
141.76 - 142.02:  Two
142.02 - 142.26:  lessons
142.26 - 142.52:  from
142.52 - 142.82:  now.
143.74 - 144.30:  Recorded
144.30 - 144.46:  to
144.46 - 144.86:  postgres,
145.14 - 145.40:  regardless
145.40 - 145.68:  of
145.68 - 146.06:  outcome,
146.40 - 146.80:  approved,
147.30 - 147.70:  flagged,
147.90 - 147.98:  doesn't
147.98 - 148.24:  matter.
148.82 - 149.02:  Every
149.02 - 149.24:  invoice
149.24 - 149.54:  that
149.54 - 149.76:  passes
149.76 - 150.08:  through
150.08 - 150.28:  this
150.28 - 150.68:  pipeline
150.68 - 150.98:  leaves
150.98 - 151.16:  a
151.16 - 151.44:  record.
152.18 - 152.52:  That's
152.52 - 152.80:  your
152.80 - 153.36:  audit
153.36 - 153.66:  trail
153.66 - 154.10:  and
154.10 - 154.36:  it's
154.36 - 154.62:  what
154.62 - 154.92:  made
154.92 - 155.24:  invoice
155.24 - 155.58:  five
155.58 - 156.10:  catchable
156.10 - 156.26:  as
156.26 - 156.38:  a
156.38 - 156.58:  duplicate
156.58 - 156.88:  of
156.88 - 157.08:  invoice
157.08 - 157.44:  one
157.44 - 157.70:  even
157.70 - 157.96:  across
157.96 - 158.38:  separate
158.38 - 158.70:  runs.
159.50 - 160.06:  Confidence
160.06 - 160.40:  floor,
160.74 - 160.90:  this
160.90 - 161.00:  is
161.00 - 161.10:  the
161.10 - 161.26:  one
161.26 - 161.48:  place
161.48 - 161.96:  validation
161.96 - 162.40:  actually
162.40 - 162.64:  looks
162.64 - 162.82:  at
162.82 - 162.90:  what
162.90 - 163.02:  the
163.02 - 163.16:  model
163.16 - 163.42:  said
163.42 - 163.60:  about
163.60 - 163.92:  itself.
165.52 - 166.08:  0
166.08 - 166.48: .9
166.48 - 166.70:  is
166.70 - 166.86:  the
166.86 - 167.10:  floor.
167.30 - 167.40:  Below
167.40 - 167.68:  that
167.68 - 168.16:  flagged
168.16 - 168.26:  for
168.26 - 168.62:  review,
168.72 - 168.82:  not
168.82 - 169.06:  because
169.06 - 169.36:  anything
169.36 - 169.70:  is
169.70 - 170.06:  provably
170.06 - 170.48:  wrong
170.48 - 170.68:  but
170.68 - 170.96:  because
170.96 - 171.16:  the
171.16 - 171.38:  model
171.38 - 171.82:  itself
171.82 - 172.26:  wasn't
172.26 - 172.56:  sure.
173.18 - 173.34:  That's
173.34 - 173.38:  a
173.38 - 173.66:  legitimate
173.66 - 174.26:  signal
174.26 - 174.56:  used
174.56 - 175.08:  carefully,
175.28 - 175.40:  not
175.40 - 175.76:  blindly
175.76 - 176.20:  trusted.
176.86 - 177.36:  Medium
177.36 - 177.82:  severity,
178.36 - 178.44:  not
178.44 - 178.74:  high.
179.16 - 179.24:  Low
179.24 - 179.56:  confidence
179.56 - 179.96:  means
179.96 - 180.22:  look
180.22 - 180.64:  closer.
181.14 - 181.38:  Not
181.38 - 181.78:  something
181.78 - 181.98:  is
181.98 - 182.28:  definitely
182.28 - 182.74:  broken.
183.46 - 183.64:  That
183.64 - 184.04:  distinction
184.04 - 184.32:  is
184.32 - 184.68:  deliberate.
185.60 - 185.96:  Missing
185.96 - 186.24:  PO,
186.60 - 186.76:  simple
186.76 - 187.02:  business
187.02 - 187.44:  rule,
187.54 - 187.66:  no
187.66 - 187.96:  purchase
187.96 - 188.30:  order
188.30 - 188.66:  number
188.66 - 189.00:  and
189.00 - 189.12:  the
189.12 - 189.40:  invoice
189.40 - 189.76:  is
189.76 - 189.98:  over
189.98 - 190.26:  $1
190.26 - 190.62: ,000.
191.38 - 191.98:  Flagged
191.98 - 192.18:  below
192.18 - 192.40:  that
192.40 - 192.82:  threshold
193.16 - 193.46:  is
193.46 - 193.62:  not
193.62 - 193.92:  worth
193.92 - 194.18:  the
194.18 - 194.42:  friction
194.42 - 194.70:  of
194.70 - 194.92:  money
194.92 - 195.34:  review.
196.16 - 196.76:  This
196.76 - 196.86:  is
196.86 - 197.18:  exactly
197.18 - 197.36:  what
197.36 - 197.56:  caught
197.56 - 197.92:  invoice
197.92 - 198.32:  three
198.32 - 198.60:  in
198.60 - 198.80:  lesson
198.80 - 199.14:  one.
199.14 - 199.96:  Meridian
199.96 - 200.28:  office
200.28 - 200.78:  supplies,
201.04 - 201.22:  $4
201.22 - 202.44: ,481
202.44 - 202.92: .55,
203.40 - 203.52:  no
203.52 - 203.72:  PO
203.72 - 204.06:  number,
204.30 - 204.50:  needs
204.50 - 204.88:  review.
205.74 - 205.98:  High
205.98 - 206.32:  value,
206.84 - 207.10:  anything
207.10 - 207.40:  over
207.40 - 207.66:  $5
207.66 - 207.98: ,000.
208.58 - 208.96:  Auto
208.96 - 209.32:  approval
209.32 - 209.58:  threshold
209.58 - 209.94:  gets
209.94 - 210.10:  a
210.10 - 210.34:  second
210.34 - 210.60:  look,
210.72 - 211.02:  purely
211.02 - 211.22:  on
211.22 - 211.64:  size,
212.00 - 212.16:  not
212.16 - 212.38:  because
212.38 - 212.62:  it's
212.62 - 212.82:  wrong
212.82 - 213.12:  because
213.12 - 213.38:  the
213.38 - 213.60:  blast
213.60 - 214.04:  radius
214.04 - 214.26:  of
214.26 - 214.46:  being
214.46 - 214.72:  wrong
214.72 - 215.06:  scales
215.06 - 215.36:  with
215.36 - 215.48:  the
215.48 - 215.70:  dollar
215.70 - 216.06:  amount.
217.14 - 217.34:  That
217.34 - 217.60:  threshold
217.60 - 218.02:  is
218.02 - 218.14:  a
218.14 - 218.34:  business
218.34 - 218.82:  decision,
218.96 - 219.08:  not
219.08 - 219.22:  an
219.22 - 219.60:  engineering
219.60 - 219.94:  one.
220.54 - 220.78:  $5
220.78 - 221.24: ,000
221.24 - 221.60:  is
221.60 - 221.96:  this
221.96 - 222.78:  bill's
222.78 - 222.78:  default
222.78 - 223.40:  but
223.40 - 223.54:  it's
223.54 - 223.66:  the
223.66 - 223.88:  first
223.88 - 224.30:  constant
224.30 - 224.50:  you
224.50 - 224.86:  change
224.86 - 225.14:  per
225.14 - 225.50:  client.
225.92 - 226.12:  Small
226.12 - 226.48:  business,
226.80 - 226.98:  maybe
226.98 - 227.26:  $1
227.26 - 227.72: ,000.
228.34 - 228.82:  Enterprise
228.82 - 229.20:  AP
229.20 - 229.58:  team,
229.70 - 229.86:  maybe
229.86 - 230.16:  $50
230.16 - 230.54: ,000.
231.52 - 231.88:  All
231.88 - 232.10:  five
232.10 - 232.34:  checks
232.34 - 232.62:  run
232.62 - 232.86:  every
232.86 - 233.16:  time,
233.48 - 233.72:  independent
233.72 - 234.04:  of
234.04 - 234.18:  each
234.18 - 234.42:  other.
234.78 - 234.90:  No
234.90 - 235.14:  short
235.14 - 235.56:  circuiting,
235.84 - 235.98:  no
235.98 - 236.32:  stop
236.32 - 236.48:  at
236.48 - 236.68:  first
236.68 - 237.02:  failure.
237.40 - 237.50:  You
237.50 - 237.66:  want
237.66 - 237.94:  every
237.94 - 238.18:  issue
238.18 - 238.34:  on
238.34 - 238.50:  one
238.50 - 238.84:  invoice,
239.04 - 239.22:  not
239.22 - 239.38:  just
239.38 - 239.56:  the
239.56 - 239.72:  first
239.72 - 239.90:  one
239.90 - 240.18:  found.
241.08 - 241.44:  Status
241.44 - 241.80:  logic
241.80 - 242.04:  is
242.04 - 242.26:  three
242.26 - 242.62:  lines.
243.14 - 243.38:  Any
243.38 - 243.56:  high
243.56 - 243.82:  severity
243.82 - 244.26:  flag,
244.50 - 244.58:  the
244.58 - 244.80:  whole
244.80 - 245.04:  invoice
245.04 - 245.34:  is
245.34 - 245.82:  flagged.
245.86 - 246.08:  Any
246.08 - 246.34:  flag
246.34 - 246.52:  at
246.52 - 246.74:  all
246.74 - 247.02:  needs
247.02 - 247.38:  review.
247.88 - 248.26:  Zero
248.26 - 248.60:  flags
248.60 - 249.38:  approved.
249.76 - 250.12:  Simple
250.12 - 250.40:  enough
250.40 - 250.64:  to
250.64 - 250.82:  read
250.82 - 251.04:  in
251.04 - 251.28:  five
251.28 - 251.68:  seconds
251.68 - 251.98:  which
251.98 - 252.12:  is
252.12 - 252.48:  exactly
252.48 - 252.68:  what
252.68 - 252.82:  you
252.82 - 253.00:  want
253.00 - 253.18:  from
253.18 - 253.54:  code,
253.64 - 254.10:  deciding
254.10 - 254.36:  what
254.36 - 254.72:  happens
254.72 - 254.90:  to
254.90 - 255.14:  money.
255.74 - 256.26:  The
256.26 - 256.48:  summary
256.48 - 256.80:  string
256.80 - 257.06:  isn't
257.06 - 257.26:  for
257.26 - 257.38:  the
257.38 - 257.56:  model,
257.92 - 258.02:  it's
258.02 - 258.14:  for
258.14 - 258.24:  the
258.24 - 258.48:  human.
259.22 - 259.36:  One
259.36 - 259.64:  sentence,
259.94 - 260.10:  plain
260.10 - 260.46:  English,
260.78 - 260.98:  every
260.98 - 261.22:  flags
261.22 - 261.66:  message
261.66 - 262.44:  concatenated.
262.94 - 263.08:  This
263.08 - 263.20:  is
263.20 - 263.34:  what
263.34 - 263.56:  shows
263.56 - 263.82:  up
263.82 - 264.10:  in
264.10 - 264.22:  a
264.22 - 264.46:  review
264.46 - 264.72:  queue,
265.00 - 265.12:  not
265.12 - 265.34:  raw
265.34 - 265.72:  JSON.
266.84 - 267.12:  Five
267.12 - 267.48:  checks,
267.68 - 267.86:  three
267.86 - 268.14:  possible
268.14 - 268.66:  outcomes,
268.94 - 269.14:  zero
269.14 - 269.42:  model
269.42 - 269.72:  cause.
270.32 - 270.44:  This
270.44 - 270.78:  entire
270.78 - 271.10:  file
271.10 - 271.26:  could
271.26 - 271.50:  run
271.50 - 271.68:  a
271.68 - 271.88:  million
271.88 - 272.46:  invoices
272.46 - 272.68:  a
272.68 - 272.80:  day
272.80 - 272.92:  and
272.92 - 273.16:  cost
273.16 - 273.46:  nothing
273.46 - 273.72:  beyond
273.72 - 274.10:  compute.
274.74 - 274.88:  The
274.88 - 275.22:  expensive
275.22 - 275.56:  part
275.56 - 275.94:  already
275.94 - 276.28:  happened
276.28 - 276.54:  in
276.54 - 276.92:  extraction.
278.02 - 278.44:  This
278.44 - 278.60:  is
278.60 - 278.72:  the
278.72 - 279.00:  file
279.00 - 279.18:  that
279.18 - 279.42:  makes
279.42 - 279.60:  the
279.60 - 279.76:  whole
279.76 - 279.96:  page
279.96 - 280.22:  true.
280.74 - 280.82:  The
280.82 - 280.98:  model
280.98 - 281.70:  extracts,
281.84 - 281.92:  code
281.92 - 282.28:  decides,
282.60 - 282.76:  every
282.76 - 283.10:  decision
283.10 - 283.40:  here
283.40 - 283.62:  is
283.62 - 283.82:  one
283.82 - 283.98:  you
283.98 - 284.08:  could
284.08 - 284.42:  defend
284.42 - 284.64:  to
284.64 - 284.78:  an
284.78 - 285.22:  auditory.
285.94 - 286.18:  Next
286.18 - 286.52:  lesson,
286.64 - 286.72:  what
286.72 - 286.98:  happens
286.98 - 287.16:  to
287.16 - 287.26:  a
287.26 - 287.62:  flagged
287.62 - 287.84:  invoice.
288.54 - 288.60:  The
288.60 - 288.92:  review
288.92 - 289.20:  queue
289.20 - 289.80:  and
289.80 - 289.96:  where
289.96 - 290.26:  human
290.26 - 290.66:  actually
290.66 - 291.08:  enters
291.08 - 291.38:  this
291.38 - 291.64:  loop.
292.04 - 292.26:  Full
292.26 - 292.62:  validation
292.62 - 293.10:  engine,
293.36 - 293.48:  all
293.48 - 293.68:  five
293.68 - 294.02:  checks,
294.24 - 294.40:  post
294.40 - 294.58: -cross
294.58 - 295.00:  wiring,
295.36 - 295.72:  CELAR,
296.14 - 296.34:  link
296.34 - 296.62:  below.
